商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-399811561111363,已发货，待收货,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,2025-05-26 09:36:22,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【定制礼袋+三年质保】",1599020975754	,	,无售后或售后取消,78508027309286	,中通快递,2025-05-25 23:50:58,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-239798873720544,待付款,128.0	,0.0	,0.0	,0.0	,0.0	,128.0	,128.0	,1	,	,	,652250629853	,【蓝哆啦联名】蓝牙音响+多彩投影+生日快乐,1715393462776	,	,无售后或售后取消,	,	,	,	,,	,
极地物种落日创意氛围灯蓝牙音响实用精致送女生生日礼物浪漫,250525-121550999842020,已发货，待收货,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,2025-05-26 09:36:28,	,565646157657	,"【落日冰川】精美礼盒+可代写贺卡+生日礼袋,【浪漫礼物】蓝牙音响+呼吸灯+扩香石+精油",1679170937495	,贺卡：我的女孩： 生日快乐 “祝我们发财，被爱， 一路好运常在， 我们都要越来越好， 日子要好好过， 下次见面了， 我要听你说快乐的事。 早日康复 我一直在！”,无售后或售后取消,78508026966798	,中通快递,2025-05-25 22:45:00,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-117807521352146,已发货，待收货,59.0	,0.0	,0.0	,2.95	,0.0	,56.05	,59.0	,1	,2025-05-26 09:36:26,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-生日礼袋】+【代写贺卡+三年质保】",1596850264137	,	,无售后或售后取消,78508027318314	,中通快递,2025-05-26 00:24:19,否,,	,
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-328896397711921,已发货，待收货,118.0	,0.0	,0.0	,5.0	,0.0	,113.0	,118.0	,1	,2025-05-26 09:36:27,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【定制礼袋+三年质保】",1599020975754	,贺卡：祝我最爱的宝贝女儿农梦瑶14岁生日快乐,无售后或售后取消,78508026918456	,中通快递,2025-05-25 22:20:03,否,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-453414807884071,未发货，退款成功,54.7	,0.0	,0.0	,2.73	,0.07	,51.97	,54.7	,1	,	,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,退款成功,	,	,2025-05-25 22:16:09,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-667030658660953,未发货，退款成功,59.0	,0.0	,0.0	,5.9	,0.0	,53.1	,59.0	,1	,	,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-落日礼袋】+【代写贺卡+三年质保】",1596850264141	,	,退款成功,	,	,2025-05-25 21:52:33,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-045309007372225,未发货，退款成功,59.0	,0.0	,0.0	,11.8	,0.0	,47.2	,59.0	,1	,	,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-太空礼袋】+【代写贺卡+三年质保】",1596852189511	,	,退款成功,	,	,2025-05-25 21:50:38,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-661410353520394,已发货，待收货,59.0	,0.0	,0.0	,5.9	,0.0	,53.1	,59.0	,1	,2025-05-26 09:36:22,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-太空礼袋】+【代写贺卡+三年质保】",1596852189511	,	,无售后或售后取消,78508027303594	,中通快递,2025-05-25 21:50:32,否,,	,
极地冰川蓝牙音响生日高颜值创意礼物送男生女生多功能氛围灯香薰,250525-049125865833358,已发货，待收货,123.0	,0.0	,5.0	,24.78	,0.0	,93.22	,118.0	,1	,2025-05-26 09:36:21,	,496337616776	,"阿尔卑斯山香薰扩香石音响,【山海礼袋】蓝牙音响+香薰精油",1598317229189	,	,无售后或售后取消,78508027355026	,中通快递,2025-05-25 21:48:39,否,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-152515438922096,已发货，待收货,54.7	,0.0	,0.0	,2.73	,0.0	,51.97	,54.7	,1	,2025-05-26 09:36:24,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,无售后或售后取消,78508027328793	,中通快递,2025-05-25 21:24:42,否,,	,
极地物种落日创意氛围灯蓝牙音响实用精致送女生生日礼物浪漫,250525-158020410922807,已取消,118.0	,0.0	,0.0	,5.9	,0.0	,112.1	,118.0	,1	,	,	,565646157657	,"【落日冰川】精美礼盒+可代写贺卡+落日礼袋,【浪漫礼物】蓝牙音响+呼吸灯+扩香石+精油",1679170937494	,	,无售后或售后取消,	,	,	,	,,	,
